,cell_line,drug,vus_norm,vus_norm_extrapolated,absolute_vus_decrease,relative_vus_decrease
56,UW228-3,Drug12,0.9878023247347189,0.993479023373388,-0.005676698638669153,-0.005746796192440294
57,LN229,Drug05,1.0102853310138156,1.0162532277838432,-0.005967896770027625,-0.005907139881006562
58,LN308,Drug07,0.8633345872689898,0.872107909602024,-0.008773322333034184,-0.010162134660661607
59,LN308,Drug01,0.949659503832772,0.9600987967975544,-0.01043929296478241,-0.010992669396399462
60,LN308,Drug08,1.0052895856885995,1.0168406471077778,-0.011551061419178277,-0.01149028258485944
61,LN308,Drug18,1.107834822661292,1.1260228863143305,-0.01818806365303849,-0.016417667400403863
62,LN308,Drug04,0.9249714683299692,0.9419951055071268,-0.017023637177157602,-0.01840449977110503
63,UW228-3,Drug07,0.9166283493240224,0.9338620726363488,-0.01723372331232642,-0.018801211336127253
64,UW228-3,Drug01,0.9356479270292444,0.9568373744568828,-0.021189447427638397,-0.02264681705106381
65,LN308,Drug10,0.950550866626947,0.9757493063593184,-0.025198439732371458,-0.02650930172920544
66,LN229,Drug06,0.8926621041560191,0.917617098687375,-0.024954994531355856,-0.027955700611879266
67,LN308,Drug06,0.8877671321450745,0.919121308161669,-0.031354176016594515,-0.03531801852230633
68,UW228-3,Drug13,0.922418866897334,0.9562143989374328,-0.033795532040098775,-0.0366379453553179
69,LN308,Drug17,1.0454690969177478,1.0972958864573283,-0.05182678953958053,-0.04957276087105423
70,LN229,Drug13,0.8587411218783281,0.905639540963504,-0.04689841908517589,-0.05461298858332856
71,LN229,Drug17,0.8580104747302405,0.9127097424917152,-0.05469926776147471,-0.0637512820326258
72,LN229,Drug02,0.8505588829398485,0.9065888637874596,-0.05602998084761113,-0.06587431155142444
73,UW228-3,Drug08,1.143352093568662,1.268638642790895,-0.12528654922223303,-0.10957827420526708
74,LN229,Drug04,1.3209723561891304,1.6452896548643403,-0.32431729867520986,-0.24551406935632775
75,LN229,Drug00,1.1769933325216153,1.4900324553680184,-0.3130391228464031,-0.2659650774535328
